TAIRID	Tissue_specificity
AT3G13680	chalazal.seed.coat
AT1G55660	chalazal.seed.coat
AT3G21410	chalazal.seed.coat
AT1G72100	chalazal.seed.coat
AT2G17050	chalazal.seed.coat
AT5G46300	chalazal.seed.coat
AT1G64320	chalazal.seed.coat
AT5G20460	chalazal.seed.coat
AT5G26630	chalazal.seed.coat
AT1G80330	chalazal.seed.coat
AT1G75600	chalazal.seed.coat
AT5G67550	chalazal.seed.coat
AT2G03770	chalazal.seed.coat
AT3G29190	chalazal.seed.coat
AT3G27785	chalazal.seed.coat
AT2G20160	chalazal.seed.coat
AT3G12840	chalazal.seed.coat
AT5G19270	chalazal.seed.coat
AT1G60980	chalazal.seed.coat
ATMG00890	chalazal.seed.coat
AT3G04990	chalazal.seed.coat
AT5G19560	chalazal.seed.coat
AT5G38195	chalazal.seed.coat
AT3G60920	chalazal.seed.coat
AT4G18870	chalazal.seed.coat
AT3G14480	chalazal.seed.coat
AT3G03410	chalazal.seed.coat
AT1G51110	chalazal.seed.coat
AT3G57720	chalazal.seed.coat
AT5G56370	chalazal.seed.coat
AT3G49770	chalazal.seed.coat
AT5G41450	chalazal.seed.coat
AT1G05510	chalazal.seed.coat
AT1G31430	chalazal.seed.coat
AT3G03230	chalazal.seed.coat
AT4G39650	chalazal.seed.coat
AT1G21850	chalazal.seed.coat
AT1G03540	chalazal.seed.coat
AT1G63150	chalazal.seed.coat
AT4G25980	chalazal.seed.coat
AT4G03750	chalazal.seed.coat
AT4G23080	chalazal.seed.coat
AT5G53840	chalazal.seed.coat
AT4G27530	chalazal.seed.coat
AT3G15550	chalazal.seed.coat
AT1G80580	chalazal.seed.coat
AT4G29650	chalazal.seed.coat
AT1G70040	chalazal.seed.coat
AT5G49110	chalazal.seed.coat
AT4G21050	chalazal.seed.coat
AT5G23650	chalazal.seed.coat
AT5G65070	chalazal.seed.coat
AT3G02670	chalazal.seed.coat
AT4G24030	chalazal.seed.coat
AT3G24130	chalazal.seed.coat
AT1G47300	chalazal.seed.coat
AT5G46370	chalazal.seed.coat
AT3G30280	chalazal.seed.coat
AT4G14670	chalazal.seed.coat
AT4G24175	chalazal.seed.coat
AT4G29600	chalazal.seed.coat
AT1G03300	chalazal.seed.coat
AT3G52690	chalazal.seed.coat
AT5G51760	chalazal.seed.coat
AT4G27160	chalazal.seed.coat
AT1G10520	chalazal.seed.coat
AT1G02710	chalazal.seed.coat
AT2G48060	chalazal.seed.coat
AT5G42910	chalazal.seed.coat
AT1G27640	chalazal.seed.coat
AT5G47670	chalazal.seed.coat
AT4G29370	chalazal.seed.coat
AT1G29630	chalazal.seed.coat
AT4G08560	chalazal.seed.coat
AT1G29080	chalazal.seed.coat
AT4G21323	chalazal.seed.coat
AT1G47765	chalazal.seed.coat
AT3G53350	chalazal.seed.coat
AT1G79060	chalazal.seed.coat
AT1G35183	chalazal.seed.coat
AT5G38400	chalazal.seed.coat
AT1G54640	chalazal.seed.coat
AT5G52480	chalazal.seed.coat
AT2G41260	chalazal.seed.coat
AT3G44460	chalazal.seed.coat
AT2G21420	chalazal.seed.coat
AT1G17010	chalazal.seed.coat
AT4G34520	chalazal.seed.coat
AT1G01940	embryo.all
AT1G02260	embryo.all
AT1G02370	embryo.all
AT1G02390	embryo.all
AT1G02475	embryo.all
AT1G02730	embryo.all
AT1G03100	embryo.all
AT1G03110	embryo.all
AT1G03360	embryo.all
AT1G03530	embryo.all
AT1G03900	embryo.all
AT1G04150	embryo.all
AT1G04650	embryo.all
AT1G04660	embryo.all
AT1G04730	embryo.all
AT1G04760	embryo.all
AT1G05470	embryo.all
AT1G05550	embryo.all
AT1G05577	embryo.all
AT1G05805	embryo.all
AT1G05840	embryo.all
AT1G06080	embryo.all
AT1G06180	embryo.all
AT1G06310	embryo.all
AT1G06530	embryo.all
AT1G06670	embryo.all
AT1G06720	embryo.all
AT1G06950	embryo.all
AT1G06960	embryo.all
AT1G06980	embryo.all
AT1G07040	embryo.all
AT1G07080	embryo.all
AT1G07270	embryo.all
AT1G07310	embryo.all
AT1G07370	embryo.all
AT1G07410	embryo.all
AT1G07485	embryo.all
AT1G07615	embryo.all
AT1G07790	embryo.all
AT1G07840	embryo.all
AT1G07970	embryo.all
AT1G08130	embryo.all
AT1G08315	embryo.all
AT1G08430	embryo.all
AT1G08510	embryo.all
AT1G08580	embryo.all
AT1G08610	embryo.all
AT1G08770	embryo.all
AT1G09190	embryo.all
AT1G09415	embryo.all
AT1G09450	embryo.all
AT1G09600	embryo.all
AT1G09750	embryo.all
AT1G09780	embryo.all
AT1G09800	embryo.all
AT1G09900	embryo.all
AT1G10120	embryo.all
AT1G10230	embryo.all
AT1G10490	embryo.all
AT1G10750	embryo.all
AT1G10780	embryo.all
AT1G10910	embryo.all
AT1G11125	embryo.all
AT1G11130	embryo.all
AT1G11160	embryo.all
AT1G11220	embryo.all
AT1G11240	embryo.all
AT1G11420	embryo.all
AT1G12620	embryo.all
AT1G12650	embryo.all
AT1G12775	embryo.all
AT1G13020	embryo.all
AT1G13030	embryo.all
AT1G13120	embryo.all
AT1G13160	embryo.all
AT1G13230	embryo.all
AT1G13400	embryo.all
AT1G13410	embryo.all
AT1G13690	embryo.all
AT1G13740	embryo.all
AT1G14610	embryo.all
AT1G14850	embryo.all
AT1G14910	embryo.all
AT1G14980	embryo.all
AT1G15390	embryo.all
AT1G15420	embryo.all
AT1G15510	embryo.all
AT1G15570	embryo.all
AT1G15660	embryo.all
AT1G16000	embryo.all
AT1G16220	embryo.all
AT1G16280	embryo.all
AT1G16500	embryo.all
AT1G16520	embryo.all
AT1G16640	embryo.all
AT1G16740	embryo.all
AT1G16840	embryo.all
AT1G16970	embryo.all
AT1G17080	embryo.all
AT1G17480	embryo.all
AT1G18170	embryo.all
AT1G18270	embryo.all
AT1G18370	embryo.all
AT1G18540	embryo.all
AT1G18850	embryo.all
AT1G19310	embryo.all
AT1G19450	embryo.all
AT1G19770	embryo.all
AT1G20230	embryo.all
AT1G20300	embryo.all
AT1G20380	embryo.all
AT1G20580	embryo.all
AT1G21650	embryo.all
AT1G21680	embryo.all
AT1G21690	embryo.all
AT1G21710	embryo.all
AT1G21810	embryo.all
AT1G21870	embryo.all
AT1G21900	embryo.all
AT1G21920	embryo.all
AT1G22040	embryo.all
AT1G22170	embryo.all
AT1G22650	embryo.all
AT1G23000	embryo.all
AT1G23190	embryo.all
AT1G23390	embryo.all
AT1G23790	embryo.all
AT1G24310	embryo.all
AT1G24610	embryo.all
AT1G25260	embryo.all
AT1G25520	embryo.all
AT1G26170	embryo.all
AT1G26260	embryo.all
AT1G26520	embryo.all
AT1G26530	embryo.all
AT1G26680	embryo.all
AT1G26760	embryo.all
AT1G26850	embryo.all
AT1G27050	embryo.all
AT1G27100	embryo.all
AT1G27435	embryo.all
AT1G27530	embryo.all
AT1G27820	embryo.all
AT1G27880	embryo.all
AT1G28360	embryo.all
AT1G28460	embryo.all
AT1G29250	embryo.all
AT1G29270	embryo.all
AT1G29340	embryo.all
AT1G30515	embryo.all
AT1G30570	embryo.all
AT1G30580	embryo.all
AT1G30600	embryo.all
AT1G30960	embryo.all
AT1G31010	embryo.all
AT1G31310	embryo.all
AT1G31660	embryo.all
AT1G31760	embryo.all
AT1G31810	embryo.all
AT1G31970	embryo.all
AT1G32375	embryo.all
AT1G32560	embryo.all
AT1G32730	embryo.all
AT1G33390	embryo.all
AT1G34110	embryo.all
AT1G34200	embryo.all
AT1G35290	embryo.all
AT1G35510	embryo.all
AT1G36980	embryo.all
AT1G37150	embryo.all
AT1G43780	embryo.all
AT1G45110	embryo.all
AT1G45145	embryo.all
AT1G46264	embryo.all
AT1G47655	embryo.all
AT1G47670	embryo.all
AT1G48050	embryo.all
AT1G48200	embryo.all
AT1G48360	embryo.all
AT1G48430	embryo.all
AT1G48460	embryo.all
AT1G48570	embryo.all
AT1G49630	embryo.all
AT1G49830	embryo.all
AT1G50240	embryo.all
AT1G50300	embryo.all
AT1G50380	embryo.all
AT1G50470	embryo.all
